app,channel,device,ip,os
29473.0,,86.0,,104744.0
18828.0,,80.0,,69170.0
11726.0,,3770.0,,5502.0
13948.0,,695.0,,3275.0
647.0,,64.0,,10011.0
2063.0,,113.0,,93613.0
592.0,,75.0,,8417.0
27505.0,,471.0,,3684.0
2006.0,,962.0,,37828.0
10203.0,,506.0,,7413.0
6577.0,,308.0,,450.0
10125.0,,1571.0,,25706.0
15.0,,76.0,,56115.0
3983.0,,2767.0,,5287.0
4182.0,,197.0,,80805.0
3751.0,,87.0,,5876.0
3831.0,,53.0,519.0,5564.0
35619.0,,2287.0,,
31565.0,,97.0,1787.0,13764.0
7715.0,,157.0,,2544.0
3243.0,,,1964.0,15746.0
4903.0,,253.0,,2024.0
2992.0,,28.0,,4658.0
14428.0,,3262.0,4278.0,2802.0
540.0,,918.0,,2617.0
1277.0,,100.0,,25700.0
4446.0,,,,472.0
4418.0,,405.0,4457.0,5402.0
48704.0,,15.0,908.0,61.0
96857.0,,561.0,,244.0
11177.0,,684.0,2676.0,1526.0
4161.0,,2110.0,,24119.0
2660.0,,2537.0,,56682.0
869.0,,8.0,,24814.0
2122.0,,220.0,,126.0
6089.0,,870.0,,18720.0
7671.0,2147174.0,1253.0,,1261.0
704.0,,583.0,,5436.0
12658.0,,1031.0,,372.0
6439.0,,525.0,1373.0,232.0
1528.0,1219222.0,88.0,,2596.0
14.0,,813.0,,3586.0
24007.0,8457471.0,174.0,853.0,2267.0
4694.0,7437.0,114.0,828.0,677.0
19138.0,,2973.0,,16924.0
20994.0,247340.0,109.0,,3737.0
929.0,587097.0,13.0,,2789.0
1172.0,,463.0,,5304.0
,474288.0,116.0,112.0,1313.0
294.0,677.0,3585.0,1154.0,2022.0
3038.0,1384504.0,177.0,,316.0
648.0,559426.0,476.0,,185.0
9445.0,,15.0,4057.0,3032.0
1377.0,256882.0,485.0,,3781.0
2176.0,,27.0,,740.0
1729.0,131277.0,4.0,4022.0,333.0
3521.0,4692438.0,10.0,,142.0
4821.0,2526161.0,318.0,4213.0,333.0
2403.0,171100.0,117.0,,1850.0
1597.0,456876.0,1353.0,615.0,837.0
11900.0,1213178.0,3.0,,368.0
62.0,31252.0,40.0,3017.0,230.0
365.0,924172.0,926.0,857.0,383.0
1653.0,2703163.0,56.0,,364.0
,824.0,763.0,,326.0
1497.0,1412180.0,60.0,,183.0
,,254.0,,8.0
217.0,,372.0,,3493.0
1270.0,,71.0,3456.0,2137.0
9561.0,5924250.0,174.0,,2479.0
252.0,2663913.0,35.0,,491.0
1741.0,,1628.0,208.0,57.0
2612.0,2302316.0,1259.0,,2367.0
3.0,45405.0,155.0,901.0,2193.0
580.0,,13.0,,12.0
277.0,2562964.0,269.0,,1466.0
1399.0,,337.0,,2565.0
757.0,2.0,121.0,,972.0
786.0,,,989.0,360.0
151.0,,27.0,,
3587.0,3583945.0,59.0,,2605.0
3154.0,1.0,20.0,,36.0
,,151.0,4744.0,334.0
4137.0,,106.0,,1089.0
2162.0,2.0,51.0,,427.0
119974.0,224491.0,157.0,1884.0,146.0
188490.0,,64.0,2956.0,1006.0
711.0,,99.0,,3078.0
194.0,5537977.0,199.0,,782.0
736.0,,4011.0,,20.0
1835.0,,264.0,,4547.0
,,224.0,,1360.0
,,356.0,,143.0
1933.0,,36.0,,434.0
275.0,,70.0,,387.0
30798.0,51314.0,1100.0,,115.0
447.0,,352.0,,60.0
1008.0,12.0,206.0,,375.0
278.0,,249.0,,273.0
368.0,,1.0,,1650.0
4370.0,2.0,48.0,2653.0,
1402.0,,352.0,,1.0
1348.0,,299.0,1059.0,2.0
352.0,,683.0,,423.0
420.0,13.0,373.0,1619.0,465.0
8999.0,,113.0,,21.0
1244.0,32915.0,261.0,,1082.0
382.0,1.0,363.0,,805.0
149.0,1428903.0,259.0,,179.0
68.0,24058.0,7.0,2881.0,1987.0
800.0,,2.0,,456.0
1117.0,,1.0,1528.0,23.0
901.0,,305.0,2948.0,72.0
,5271408.0,14.0,4788.0,1352.0
21.0,,118.0,,26.0
85.0,,255.0,,
6288.0,134.0,320.0,,52.0
823.0,130573.0,1468.0,,
52395.0,,394.0,,568.0
346.0,,171.0,,2206.0
1097.0,,36.0,,311.0
495.0,,106.0,,4.0
,,363.0,,2.0
1509.0,,340.0,275.0,659.0
7.0,,932.0,,10.0
2099.0,,638.0,460.0,78.0
324.0,,1.0,,23.0
1558.0,,42.0,,328.0
340.0,,7.0,,252.0
538.0,,172.0,,33.0
151.0,,55.0,857.0,
71.0,,343.0,3365.0,308.0
686.0,,48.0,,2.0
105.0,,15.0,5919.0,1881.0
210.0,,95.0,,156.0
325.0,,161.0,,14.0
4.0,,157.0,,36.0
5636.0,,232.0,,20.0
281.0,12428.0,2265.0,1611.0,21.0
696.0,,219.0,,6.0
19.0,4359180.0,48.0,,104.0
771.0,,65.0,1240.0,3.0
742.0,,129.0,,241.0
24030.0,99944.0,349.0,,133.0
10.0,,547.0,7399.0,305.0
405.0,51031.0,1478.0,,
1029.0,1034042.0,1700.0,322.0,5.0
78.0,1221431.0,379.0,2555.0,16.0
442.0,785038.0,72.0,,122.0
393.0,,1374.0,,177.0
13214.0,1479377.0,17.0,,140.0
493.0,129.0,18.0,,3.0
71.0,1.0,275.0,,462.0
466.0,,87.0,,
47.0,2349454.0,62.0,2052.0,83.0
122.0,,1734.0,2923.0,
193.0,1.0,100.0,,
420.0,728.0,24.0,6588.0,109.0
150.0,118.0,72.0,,334.0
136.0,28672.0,155.0,,17.0
6.0,96.0,30.0,,4.0
159.0,,81.0,1120.0,202.0
20.0,1.0,21.0,,2.0
175.0,,5.0,,94.0
262.0,,644.0,,65.0
334.0,,372.0,1.0,1.0
852.0,,1033.0,4002.0,180.0
11140.0,2275338.0,8.0,1666.0,36.0
3257.0,61.0,91.0,,79.0
26.0,683170.0,1170.0,513.0,43.0
134.0,,344.0,3082.0,7.0
543.0,1496987.0,319.0,,2.0
173.0,2632794.0,23.0,,191.0
129.0,9.0,10.0,,
300.0,,163.0,,35.0
2403.0,,666.0,426.0,1.0
438.0,,711.0,,36.0
164.0,234270.0,216.0,,12.0
1.0,388347.0,2.0,,26.0
1278.0,1212843.0,137.0,42.0,21.0
60.0,8873025.0,11.0,,310.0
311.0,,40.0,2274.0,5.0
312.0,,49.0,1863.0,
282.0,14.0,43.0,361.0,35.0
216.0,,218.0,,1.0
407.0,,58.0,,25.0
340.0,14.0,672.0,,62.0
33.0,,17.0,4.0,130.0
25.0,46360.0,79.0,,3.0
132.0,,161.0,2871.0,69.0
56.0,,16.0,7606.0,6.0
153.0,13.0,10.0,,17.0
151.0,,21.0,,2.0
206.0,1021296.0,,,
78.0,5787004.0,151.0,3871.0,4.0
273.0,,323.0,,219.0
287.0,1579.0,82.0,,35.0
46.0,35604.0,392.0,,38.0
40.0,,979.0,,1.0
126.0,,355.0,,1.0
1259.0,5446388.0,28.0,,38.0
4400.0,993663.0,207.0,258.0,
1879.0,,,,1.0
1085.0,19619.0,56.0,6804.0,28.0
140.0,,84.0,,10.0
2.0,,117.0,,1.0
138.0,,47.0,287.0,3.0
403.0,1609.0,21.0,,10.0
1919.0,,68.0,,1.0
,38472.0,260.0,,67.0
10.0,,210.0,,
19.0,,989.0,,1.0
131.0,145232.0,43.0,1118.0,23.0
144.0,643287.0,24.0,,7.0
104.0,,19.0,7001.0,2.0
88.0,15065927.0,411.0,3814.0,5.0
63.0,137.0,16.0,,172.0
1329.0,33356.0,1.0,2616.0,7.0
249.0,,5.0,1044.0,6.0
165.0,,56.0,1428.0,166.0
4.0,,7.0,,5.0
139.0,,40.0,,33.0
2.0,,189.0,,15.0
29.0,,203.0,2140.0,
199.0,,106.0,,12.0
132.0,,299.0,5.0,2.0
95.0,,181.0,326.0,2.0
158.0,,368.0,,
728.0,,33.0,,
93.0,,38.0,,23.0
66.0,,,723.0,1.0
480.0,,59.0,,10.0
83.0,,50.0,,3.0
1.0,,51.0,,16.0
33.0,,1527.0,,9.0
3.0,,7.0,,49.0
52.0,,370.0,3160.0,7.0
523.0,,12.0,4024.0,114.0
1636.0,,24.0,,7.0
147.0,,8.0,,
19.0,,73.0,,139.0
8.0,,12.0,,57.0
12.0,,35.0,,3.0
74.0,,113.0,,3.0
,,396.0,,5.0
1403.0,,124.0,,4.0
,2354.0,85.0,,2.0
24.0,,46.0,,
44.0,,175.0,,2.0
34.0,,196.0,,7.0
6532.0,1227791.0,135.0,4029.0,16.0
6.0,,10.0,,34.0
39.0,674507.0,126.0,,
4.0,,38.0,,1.0
44.0,716411.0,119.0,,2.0
229.0,29256.0,208.0,,
,,76.0,,27.0
95.0,50354.0,381.0,,1.0
16.0,,6.0,,5.0
53.0,,86.0,1869.0,20.0
114.0,359500.0,9.0,,1.0
102.0,459066.0,105.0,,78.0
67.0,,20.0,2388.0,2.0
119.0,1830623.0,18.0,,1.0
40.0,,592.0,,14.0
56.0,61697.0,49.0,,1.0
,,142.0,,
99.0,9063.0,25.0,,
85.0,37862.0,301.0,,
25.0,1965114.0,909.0,,1.0
6.0,,7.0,,1.0
44.0,,54.0,,26.0
37.0,,353.0,,3.0
28.0,,531.0,,33.0
3.0,,222.0,,20.0
18.0,672238.0,109.0,1216.0,
93.0,7175.0,85.0,2283.0,25.0
133.0,,142.0,,39.0
76.0,426332.0,1559.0,,3.0
12.0,,393.0,467.0,
22.0,,32.0,,
20.0,,66.0,2513.0,7.0
1251.0,966958.0,129.0,,22.0
5.0,,266.0,,
58.0,1032265.0,75.0,,
6.0,,724.0,212.0,1.0
20.0,,501.0,,1.0
30.0,145.0,2.0,,6.0
15.0,4680.0,18.0,7349.0,
19.0,1.0,19.0,10.0,
26.0,,3.0,,53.0
2.0,28350.0,265.0,,1.0
8.0,,405.0,,1.0
29.0,,36.0,,12.0
15.0,,,,
31.0,143524.0,22.0,2.0,4.0
8.0,96832.0,94.0,718.0,1.0
18.0,,471.0,,4.0
5096.0,,40.0,1400.0,4.0
4.0,652141.0,,,6.0
1258.0,,68.0,4016.0,1.0
31.0,,3.0,265.0,1.0
23.0,,371.0,,1.0
3.0,,27.0,2095.0,
,,62.0,18.0,2.0
2.0,,45.0,,1.0
17.0,593483.0,,,
30.0,,355.0,2975.0,29.0
9.0,90067.0,5.0,670.0,41.0
,,899.0,,2.0
4.0,,1.0,,5.0
16.0,1012441.0,105.0,,8.0
1.0,1540492.0,194.0,,1.0
17.0,,44.0,,
310.0,3402636.0,1008.0,,14.0
46.0,,36.0,,23.0
521.0,,961.0,6378.0,
,,46.0,,5.0
47.0,,259.0,,
74.0,,168.0,,1.0
47.0,,242.0,,9.0
57.0,898591.0,206.0,,
2.0,,209.0,479.0,
4.0,,66.0,,
2.0,,228.0,,
12.0,,2.0,1633.0,
5.0,62000.0,54.0,1353.0,4.0
6.0,,5.0,3739.0,2.0
,,20.0,,
1310.0,1.0,2.0,738.0,
7.0,,626.0,,
,,789.0,,
9.0,,54.0,,
631.0,,115.0,,
6.0,,221.0,,1.0
3.0,749939.0,220.0,95.0,61.0
1265.0,1383117.0,305.0,,3.0
2.0,299087.0,26.0,,
,,53.0,411.0,
1.0,14379.0,1.0,,44.0
10.0,,287.0,2432.0,3.0
2.0,152114.0,22.0,,29.0
343.0,171.0,21.0,2385.0,6.0
4.0,694.0,44.0,,3.0
,1955086.0,218.0,826.0,4.0
1.0,4086.0,148.0,,3.0
7.0,44383.0,6.0,2225.0,5.0
7.0,640751.0,,,7.0
,,99.0,2498.0,
,1849.0,144.0,,10.0
3.0,,94.0,,
,48512.0,97.0,,4.0
7.0,381601.0,429.0,,2.0
4.0,,53.0,,
970.0,10371.0,84.0,,
15.0,6751.0,91.0,,
3.0,83672.0,174.0,,2.0
,1.0,500.0,,1.0
3.0,,101.0,,
3.0,1541956.0,63.0,1492.0,2.0
1625.0,,2.0,,
,,29.0,,2.0
3.0,,7.0,,2.0
2.0,,10.0,,
20.0,,5.0,27.0,3.0
,586674.0,21.0,,3.0
30.0,,391.0,,
15.0,,60.0,4370.0,
155.0,,22.0,302.0,
,1.0,8.0,,2.0
114.0,2192870.0,35.0,,1.0
3.0,,6.0,1423.0,2.0
3.0,,160.0,,
1.0,,21.0,,14.0
,2901762.0,113.0,4908.0,
,,11.0,2051.0,
1.0,,121.0,3051.0,
9.0,3574611.0,11.0,,2.0
19.0,,14.0,,
,,,1821.0,14.0
1.0,923354.0,37.0,1015.0,5.0
60.0,85381.0,3.0,,
39.0,,320.0,,
10.0,54819.0,8.0,,
,226597.0,3.0,,
1.0,38211.0,23.0,456.0,
,3322.0,,,11.0
,1769570.0,26.0,,1.0
5.0,59797.0,294.0,,1.0
,,102.0,,
1.0,1468.0,,,4.0
,7459.0,2.0,,
,30920.0,9.0,,
1.0,16.0,61.0,,6.0
,3477150.0,166.0,,
,41192.0,82.0,,
,,48.0,,12.0
,,95.0,,
1.0,942776.0,15.0,,2.0
,,8.0,4486.0,6.0
,3695.0,55.0,305.0,27.0
5.0,2655396.0,185.0,1587.0,3.0
1.0,326491.0,81.0,,
6.0,,79.0,3939.0,
12.0,2588380.0,94.0,2629.0,
48.0,1.0,165.0,584.0,7.0
13.0,20.0,31.0,,4.0
1.0,,287.0,2099.0,
7.0,5.0,6.0,,
191.0,2665.0,,,2.0
102.0,3.0,,1010.0,23.0
3.0,2.0,1.0,,3.0
1.0,7188340.0,169.0,,2.0
6.0,565319.0,,,
,28736.0,361.0,371.0,
2.0,2618441.0,51.0,667.0,
2442.0,767949.0,91.0,,
1.0,,100.0,,1.0
,6074.0,104.0,,
478.0,89447.0,,,
,,44.0,,1.0
135.0,10789.0,528.0,,
,358477.0,37.0,,
,14453.0,22.0,3297.0,
20.0,2711240.0,12.0,,3.0
,50665.0,149.0,,
9.0,,10.0,,8.0
3.0,,16.0,,
10.0,,13.0,513.0,2.0
4.0,,366.0,,1.0
4.0,,68.0,,
4.0,124424.0,45.0,,5.0
13.0,467630.0,135.0,,
2.0,1140.0,27.0,,1.0
,,7.0,2253.0,1.0
,1.0,5.0,,2.0
10.0,,49.0,1702.0,1.0
24.0,,24.0,1374.0,
2.0,,244.0,,
49.0,,69.0,,2.0
3.0,,32.0,,10.0
,,26.0,,
,,26.0,,8.0
9.0,,2.0,,8.0
,,79.0,974.0,6.0
3.0,,3.0,708.0,1.0
,,32.0,,10.0
1131.0,,4.0,,4.0
,,351.0,,17.0
,,16.0,857.0,26.0
,,9.0,122.0,
,,8.0,,
2.0,,10.0,,
3.0,,26.0,,
6.0,,31.0,2548.0,1.0
,,4.0,,2.0
1.0,,18.0,2612.0,
,,14.0,1165.0,7.0
6.0,,62.0,1035.0,
1.0,,2.0,,
30.0,,10.0,2666.0,
,,113.0,,
2.0,,31.0,,3.0
1.0,,140.0,,
2.0,,21.0,,1.0
8.0,,32.0,,37.0
8.0,,91.0,2630.0,10.0
2.0,,4.0,,
,,78.0,,
4.0,,,,3.0
44.0,,25.0,,
1370.0,,36.0,685.0,1.0
235.0,,333.0,,
1713.0,,153.0,,
27.0,,19.0,,
51.0,,96.0,3444.0,
132.0,,3.0,,4.0
357.0,,135.0,,
1.0,,19.0,,2.0
81.0,,145.0,,
2.0,,207.0,,
29.0,,3.0,,
74.0,,24.0,,
695.0,,28.0,,
64.0,,34.0,,3.0
5.0,,6.0,2398.0,
127.0,,18.0,,5.0
139.0,,20.0,2050.0,3.0
10.0,,28.0,,
14.0,,49.0,1457.0,
14.0,,226.0,564.0,1.0
375.0,,358.0,308.0,
20.0,,100.0,,5.0
1.0,,1243.0,,
9.0,,19.0,,1.0
3.0,,5.0,,2.0
7.0,,24.0,,
12.0,,8.0,,12.0
15.0,,7.0,4388.0,1.0
1.0,,195.0,409.0,2.0
5.0,,70.0,,
6.0,,44.0,945.0,10.0
19.0,,24.0,,1.0
2.0,,12.0,,1.0
12.0,,210.0,,
3.0,,55.0,,7.0
1.0,,73.0,,5.0
1.0,,9.0,,
2.0,,11.0,1120.0,4.0
3.0,,2.0,,
46.0,,5.0,,
10.0,,28.0,,
4.0,,173.0,3209.0,
1.0,,58.0,,5.0
2.0,,616.0,,6.0
1.0,,35.0,,
5.0,,437.0,,
1.0,,12.0,,
2.0,,6.0,,
1.0,,80.0,,3.0
1.0,,24.0,,
1.0,,27.0,899.0,
1.0,,246.0,,
2.0,,18.0,,
1.0,,2.0,,
1.0,,,,1.0
1.0,,47.0,281.0,
1.0,,288.0,,
13.0,,1.0,,
2.0,,9.0,421.0,
3.0,,2.0,,
1.0,,135.0,17961.0,3.0
1.0,,23.0,,2.0
1.0,,18.0,2392.0,
1.0,,12.0,950.0,2.0
1.0,,5.0,,
1.0,,9.0,,
1.0,,10.0,,3.0
1.0,,3.0,736.0,54.0
31.0,,6.0,,
3.0,,119.0,695.0,
2.0,,7.0,,
1.0,,31.0,,713229.0
1.0,,39.0,,2.0
2.0,,,,2.0
20.0,,18.0,,6.0
4.0,,33.0,846.0,2.0
6.0,,1.0,,2.0
3.0,,54.0,,3.0
11.0,,11.0,,37.0
1.0,,2.0,,2.0
7.0,,156.0,,4.0
25.0,,16.0,,3.0
8.0,,,401.0,1.0
4.0,,1.0,9.0,2.0
1.0,,40.0,,2.0
1.0,,32.0,,5.0
4.0,,3.0,,6.0
2.0,,24.0,1447.0,26.0
7.0,,72.0,79.0,6.0
1.0,,6.0,16492.0,1.0
1.0,,36.0,,1.0
3.0,,14.0,,1.0
8.0,,12.0,,2.0
1.0,,81.0,422.0,3.0
1.0,,8.0,,1.0
4.0,,1.0,425.0,1.0
1.0,,73.0,,1.0
2.0,,7.0,,3.0
10.0,,3.0,,5.0
1.0,,15.0,,2.0
1.0,,85.0,,1.0
4.0,,28.0,769.0,1.0
1.0,,12.0,1734.0,1.0
9.0,,,,2.0
13.0,,146.0,,5.0
1.0,,172.0,1054.0,3.0
1.0,,,,2.0
2.0,,208.0,,2.0
3.0,,24.0,,1.0
3.0,,2.0,317.0,17.0
1.0,,,,1.0
1.0,,,,2.0
1.0,,96.0,1030.0,3.0
2.0,,46.0,,5.0
1.0,,22.0,,1.0
4.0,,67.0,,2.0
2.0,,34.0,,1.0
1.0,,160.0,,1.0
3.0,,48.0,,3.0
1.0,,59.0,,24.0
1.0,,46.0,,1.0
1.0,,210.0,2631.0,1.0
2.0,,212.0,4385.0,2.0
1.0,,,1165.0,1.0
2.0,,39.0,,1.0
1.0,,13.0,,1.0
7.0,,,,1.0
5.0,,,20.0,1.0
1.0,,,,1.0
1.0,,,,1.0
2.0,,22.0,,1.0
1.0,,152.0,227.0,1.0
1.0,,,,1.0
1.0,,52.0,,13.0
2.0,,63.0,,6.0
1.0,,6.0,,3.0
204.0,,17.0,,1.0
1.0,,19.0,655.0,1.0
1.0,,1.0,,2.0
3.0,,5.0,,7.0
2.0,,7.0,3965.0,1.0
2.0,,57.0,22.0,3.0
1.0,,34.0,,2.0
1.0,,9.0,1275.0,7.0
2.0,,7.0,,1.0
1.0,,8.0,3738.0,1.0
1.0,,49.0,,1.0
5.0,,3.0,,1.0
1.0,,4.0,,1.0
2.0,,109.0,2676.0,3.0
2.0,,15.0,142.0,1.0
1.0,,25.0,,1.0
2.0,,1.0,,1.0
1.0,,,,154.0
2.0,,1.0,,1.0
1.0,,,,3.0
2.0,,4.0,,3.0
1.0,,97.0,,1.0
1.0,,15.0,,1.0
4.0,,21.0,,1.0
2.0,,2.0,,4.0
1.0,,138.0,,2.0
1.0,,116.0,,1.0
9.0,,3.0,21.0,1.0
1.0,,63.0,1695.0,1.0
10.0,,29.0,5.0,1.0
7.0,,4.0,,1.0
1.0,,89.0,310.0,3.0
3.0,,217.0,,1.0
1.0,,12.0,4907.0,4.0
1.0,,15.0,1442.0,1.0
2.0,,69.0,2407.0,1.0
1.0,,24.0,5.0,1.0
1.0,,10.0,,4.0
1.0,,15.0,,2.0
3.0,,76.0,,7.0
6.0,,77.0,,1.0
1.0,,30.0,,1.0
2.0,,4.0,256.0,10.0
1.0,,36.0,11.0,1.0
1.0,,2.0,2552.0,2.0
2.0,,29.0,,1.0
63.0,,115.0,,4.0
3.0,,88.0,,2.0
3.0,,12.0,,1.0
1.0,,24.0,,4.0
1.0,,1.0,,2.0
1.0,,91.0,1670.0,10.0
2.0,,82.0,4205.0,1.0
1.0,,2.0,,2.0
1.0,,5.0,,2.0
1.0,,63.0,647.0,2.0
1.0,,63.0,4380.0,1.0
9.0,,41.0,1687.0,2.0
1.0,,191.0,,8.0
3.0,,11.0,,1.0
1.0,,,,1.0
1.0,,17.0,,4.0
107.0,,20.0,,1.0
1.0,,94.0,,3.0
1.0,,309.0,,4.0
1.0,,242.0,,2.0
5.0,,143.0,2099.0,2.0
1.0,,11.0,,3.0
2.0,,3.0,1031.0,1.0
1.0,,5.0,,1.0
1.0,,2.0,2747.0,2.0
62.0,,113.0,,3.0
1.0,,61.0,1124.0,6.0
1.0,,131.0,1102.0,2.0
3.0,,173.0,2812.0,1.0
1.0,,174.0,,5.0
2.0,,149.0,,288563.0
1.0,,,,1.0
1.0,,5.0,2396.0,2.0
1.0,,60.0,,2.0
3.0,,,,3.0
4.0,,,546.0,3.0
1.0,,25.0,,1.0
1.0,,19.0,,18.0
1.0,,5.0,1.0,2.0
8.0,,2.0,,1.0
3.0,,10.0,389.0,3.0
1.0,,79.0,,2.0
1.0,,63.0,,1.0
1.0,,9.0,,2.0
1.0,,5.0,,5.0
1.0,,9.0,1032.0,14.0
1.0,,32.0,,4.0
1.0,,45.0,,1.0
1.0,,48.0,2124.0,1.0
1.0,,38.0,3658.0,1.0
10.0,,30.0,,1.0
,,,447.0,1.0
,,7.0,1168.0,1.0
,,96.0,,2.0
,,4.0,,1.0
,,6.0,,1.0
,,1.0,,2.0
,,17.0,,1.0
,,44.0,414.0,3.0
,,17.0,,9.0
,,,,1.0
,,24.0,331.0,13.0
,,,,4.0
,,21.0,,2.0
,,,,6.0
,,35.0,2965.0,1.0
,,64.0,,2.0
,,17.0,908.0,1.0
,,5.0,,1.0
,,1.0,,3.0
,,90.0,,1.0
,,15.0,16.0,2.0
,,73.0,,3.0
,,90.0,,1.0
,,2.0,2384.0,1.0
,,1.0,1024.0,2.0
,,,1503.0,1.0
,,193.0,,1.0
,,20.0,,1.0
,,32.0,,1.0
,,17.0,209.0,1.0
,,25.0,1273.0,2.0
,,61.0,178.0,2.0
,,,,1.0
,,3.0,2615.0,1.0
,,3.0,,1.0
,,29.0,,1.0
,,69.0,,1.0
,,12.0,3485.0,1.0
,,30.0,1846.0,1.0
,,196.0,,3.0
,,18.0,,4.0
,,1.0,7.0,2.0
,,7.0,,9.0
,,32.0,2669.0,1.0
,,25.0,,1.0
,,7.0,2382.0,1.0
,,3.0,3571.0,3.0
,,2.0,,2.0
,,5.0,1668.0,4.0
,,56.0,,1.0
,,54.0,,1.0
,,4.0,149.0,2.0
,,41.0,,1.0
,,20.0,,2.0
,,2.0,,1.0
,,9.0,,7.0
,,1.0,,1.0
,,,713.0,8.0
,,3.0,,1.0
,,138.0,,1.0
,,9.0,,1.0
,,36.0,,2.0
,,83.0,,3.0
,,201.0,6322.0,2.0
,,13.0,2276.0,1.0
,,17.0,1537.0,1.0
,,3.0,13911.0,1.0
,,4.0,,10.0
,,4.0,2018.0,1.0
,,6.0,881.0,2.0
,,4.0,794.0,1.0
,,53.0,147.0,2.0
,,,796.0,1.0
,,1.0,,3.0
,,1.0,2125.0,1.0
,,27.0,,1.0
,,,,1.0
,,3.0,2808.0,1.0
,,58.0,2214.0,1.0
,,24.0,,1.0
,,1.0,,3.0
,,517.0,,4.0
,,2.0,,1.0
,,4.0,,2.0
,,96.0,3341.0,2.0
,,28.0,,5.0
,,2.0,,3.0
,,17.0,,4.0
,,131.0,,5.0
,,112.0,,1.0
,,1.0,,1.0
,,35.0,6498.0,1.0
,,86.0,,1.0
,,5.0,,1.0
,,15.0,,4.0
,,16.0,,1.0
,,,,1.0
,,,51.0,203701.0
,,5.0,,2.0
,,,1100.0,4.0
,,81.0,3783.0,1.0
,,29.0,,3.0
,,22.0,13351.0,1.0
,,13.0,3.0,1.0
,,13.0,2299.0,2.0
,,1.0,,3.0
,,20.0,1482.0,1.0
,,10.0,,3.0
,,4.0,,1.0
,,12.0,674.0,1.0
,,6.0,2858.0,3.0
,,1.0,,1.0
,,2.0,,3.0
,,,,4.0
,,20.0,,2.0
,,,,3.0
,,44.0,7052.0,6.0
,,4.0,,4.0
,,72.0,,1.0
,,14.0,191.0,2.0
,,,,2.0
,,38.0,1302.0,1.0
,,12.0,,2.0
,,18.0,14922.0,1.0
,,44.0,,1.0
,,,,1.0
,,,,1.0
,,7.0,,4.0
,,,,3.0
,,2.0,778.0,1.0
,,,,2.0
,,8.0,,8.0
,,13.0,3.0,4.0
,,10.0,,1.0
,,11.0,,2.0
,,29.0,,1.0
,,2.0,,2.0
,,,,3.0
,,2.0,,1.0
,,8.0,,2.0
,,15.0,,4.0
,,,,2.0
,,5.0,1104.0,2.0
,,7.0,605.0,1.0
,,32.0,17571.0,1.0
,,11.0,,2.0
,,33.0,733.0,2.0
,,102.0,,1.0
,,,,3.0
,,2.0,7362.0,2.0
,,26.0,,1.0
,,3.0,,2.0
,,,,1.0
,,141.0,,3.0
,,70.0,,1.0
,,20.0,3919.0,3.0
,,2.0,14318.0,3.0
,,2.0,,1.0
,,9.0,1201.0,1.0
